# 16O_NNLOsat_PRC101_014318.dat from vittorio.soma@cea.fr 
# r[fm] rho_matter rho_proton rho_neutron rho_charge[fm-3]
3.33 0.02862537 0.01442905 0.01419631 0.01509462 
3.34 0.02814825 0.01419070 0.01395755 0.01486541 
3.35 0.02767706 0.01395527 0.01372179 0.01463873 
3.36 0.02721176 0.01372275 0.01348901 0.01441456 
3.37 0.02675233 0.01349313 0.01325919 0.01419290 
3.38 0.02629874 0.01326641 0.01303234 0.01397375 
3.39 0.02585097 0.01304255 0.01280842 0.01375709 
3.40 0.02540899 0.01282156 0.01258743 0.01354293 
3.41 0.02497277 0.01260342 0.01236935 0.01333124 
3.42 0.02454229 0.01238812 0.01215417 0.01312202 
3.43 0.02411750 0.01217564 0.01194186 0.01291527 
3.44 0.02369838 0.01196596 0.01173242 0.01271097 
3.45 0.02328489 0.01175907 0.01152582 0.01250911 
3.46 0.02287701 0.01155495 0.01132206 0.01230968 
3.47 0.02247469 0.01135359 0.01112110 0.01211267 
3.48 0.02207790 0.01115496 0.01092293 0.01191806 
3.49 0.02168661 0.01095906 0.01072754 0.01172586 
3.50 0.02130077 0.01076587 0.01053490 0.01153604 
3.51 0.02092036 0.01057536 0.01034500 0.01134859 
3.52 0.02054532 0.01038751 0.01015781 0.01116349 
3.53 0.02017563 0.01020232 0.00997332 0.01098075 
3.54 0.01981124 0.01001975 0.00979149 0.01080033 
3.55 0.01945212 0.00983979 0.00961233 0.01062224 
3.56 0.01909821 0.00966242 0.00943579 0.01044644 
3.57 0.01874948 0.00948762 0.00926186 0.01027294 
3.58 0.01840589 0.00931537 0.00909052 0.01010171 
3.59 0.01806739 0.00914564 0.00892175 0.00993274 
3.60 0.01773394 0.00897842 0.00875552 0.00976602 
3.61 0.01740550 0.00881369 0.00859181 0.00960152 
3.62 0.01708202 0.00865142 0.00843060 0.00943924 
3.63 0.01676346 0.00849159 0.00827187 0.00927915 
3.64 0.01644977 0.00833418 0.00811559 0.00912124 
3.65 0.01614091 0.00817917 0.00796174 0.00896550 
3.66 0.01583682 0.00802653 0.00781029 0.00881191 
3.67 0.01553748 0.00787625 0.00766123 0.00866044 
3.68 0.01524282 0.00772829 0.00751453 0.00851109 
3.69 0.01495281 0.00758265 0.00737016 0.00836384 
3.70 0.01466739 0.00743928 0.00722810 0.00821866 
3.71 0.01438651 0.00729818 0.00708833 0.00807555 
3.72 0.01411014 0.00715932 0.00695082 0.00793448 
3.73 0.01383822 0.00702267 0.00681555 0.00779544 
3.74 0.01357071 0.00688822 0.00668250 0.00765840 
3.75 0.01330756 0.00675593 0.00655163 0.00752336 
